,wardNo,wardName,Employed,Unemployment,totalWorkForce
697,698,Vettoor,6920,11784,18704
698,699,Vilappil,13398,22814,36212
699,700,Vilavoorkkal,11752,20009,31761
700,701,Vithura,9712,16537,26249
701,702,Adat,11191,20782,31973
702,703,Alur,15221,28267,43488
703,704,Annamanada,10601,19688,30289
704,705,Anthikkad,7507,13942,21449
705,706,Avanur,7869,14613,22482
706,707,Avinissery,7597,14110,21707
707,708,Chazhoor,10199,18942,29141
708,709,Chelakkara,14158,26292,40450
709,710,Cherpu,12985,24114,37099
710,711,Choondal,11353,21083,32436
711,712,Chowwannur,5842,10848,16690
712,713,Desamangalam,7659,14224,21883
713,714,Edathiruthy,10264,19061,29325
714,715,Edavilangu,7127,13236,20363
715,716,Elavally,9523,17686,27209
716,717,Engandiyur,8254,15329,23583
717,718,Kadangode,11401,21173,32574
718,719,Kadappuram,8857,16448,25305
719,720,Kadavallur,12762,23702,36464
720,721,Kadukutty,8795,16333,25128
721,722,Kaipamangalam,12469,23157,35626
722,723,Kaiparamba,10955,20344,31299
723,724,Kandanassery,8558,15894,24452
724,725,Karalam,7460,13855,21315
725,726,Kattakampal,9066,16837,25903
726,727,Kattur,6306,11711,18017
727,728,Kodakara,11304,20994,32298
728,729,Kodassery,11969,22229,34198
729,730,Kolazhy,11048,20519,31567
730,731,Kondazhy,7841,14562,22403
731,732,Koratty,11383,21140,32523
732,733,Madakkathara,9513,17668,27181
733,734,Manalur,11510,21376,32886
734,735,Mattathur,16756,31119,47875
735,736,Melur,9681,17978,27659
736,737,Mullassery,7587,14089,21676
737,738,Mullurkara,7035,13065,20100
738,739,Muriyad,9471,17588,27059
739,740,Nadathara,10973,20379,31352
740,741,Nattika,6792,12614,19406
741,742,Nenmanikkara,7701,14301,22002
742,743,Orumanayur,4091,7597,11688
743,744,Padiyur,6561,12184,18745
744,745,Pananchery,16087,29876,45963
745,746,Panjal,8758,16266,25024
746,747,Paralam,8689,16136,24825
747,748,Parappukkara,10381,19278,29659
748,749,Pariyaram,8074,14996,23070
749,750,Pavaratty,7237,13439,20676
750,751,Pazhayannur,14090,26166,40256
751,752,Perinjanam,7354,13658,21012
752,753,Poomangalam,4389,8152,12541
753,754,Porkulam,5719,10620,16339
754,755,Poyya,7871,14619,22490
755,756,Pudukkad,12853,23869,36722
756,757,Punnayur,11679,21689,33368
757,758,Punnayurkulam,7496,13920,21416
758,759,Puthenchira,8181,15194,23375
759,760,Puthur,17249,32035,49284
760,761,Talikulam,8927,16580,25507
761,762,Thanniyam,10233,19005,29238
762,763,Thekkumkara,10329,19182,29511
763,764,Thiruvilwamala,9990,18554,28544
764,765,Tholur,6451,11980,18431
765,766,Trikkur,9756,18118,27874
766,767,Vadekkekad,9138,16971,26109
767,768,Valappad,12333,22904,35237
768,769,Vallachira,7082,13151,20233
769,770,Varandarappilly,14312,26580,40892
770,771,Varavoor,7016,13029,20045
771,772,Vatanappilly,10564,19620,30184
772,773,Vellangallur,13385,24858,38243
773,774,Velukara,10222,18985,29207
774,775,Velur,9672,17961,27633
775,776,Venkitangu,8791,16327,25118
776,777,Ambalavayal,14787,20420,35207
777,778,Edavaka,14139,19526,33665
778,779,Kaniambetta,14262,19694,33956
779,780,Kottathara,7001,9669,16670
780,781,Muppainadu,10328,14262,24590
781,782,Mutil,14818,20463,35281
782,783,Nenmeni,19719,27231,46950
783,784,Noolpuzha,11690,16143,27833
784,785,Padinharethara,10905,15060,25965
785,786,Panamaram,19163,26464,45627
786,787,Poothadi,16653,22996,39649
787,788,Pozhuthana,7731,10675,18406
788,789,Pulpally,14259,19692,33951
789,790,Thariyode,4924,6801,11725
790,791,Thavinhal,16721,23092,39813
791,792,Thirunelly,12472,17224,29696
792,793,Thondernad,9720,13422,23142
793,794,Vellamunda,17063,23564,40627
794,795,Vengappally,4938,6818,11756
795,796,Vythiri,7688,10617,18305
